2026-06-10 03:31:48 status unpacked login:arm64 1:4.16.0-2+really2.41.3-3ubuntu2
2026-06-10 03:31:48 install login.defs:all <none> 1:4.17.4-2ubuntu3
2026-06-10 03:31:48 status half-installed login.defs:all 1:4.17.4-2ubuntu3
2026-06-10 03:31:48 status unpacked login.defs:all 1:4.17.4-2ubuntu3
2026-06-10 03:31:48 install logsave:arm64 <none> 1.47.2-3ubuntu4
2026-06-10 03:31:48 status half-installed logsave:arm64 1.47.2-3ubuntu4
2026-06-10 03:31:48 status unpacked logsave:arm64 1.47.2-3ubuntu4
2026-06-10 03:31:48 upgrade mawk:arm64 1.3.4.20260129-1 1.3.4.20260129-1
2026-06-10 03:31:48 status half-configured mawk:arm64 1.3.4.20260129-1
2026-06-10 03:31:48 status unpacked mawk:arm64 1.3.4.20260129-1
2026-06-10 03:31:48 status half-installed mawk:arm64 1.3.4.20260129-1
2026-06-10 03:31:48 status unpacked mawk:arm64 1.3.4.20260129-1
2026-06-10 03:31:48 install mount:arm64 <none> 2.41.3-3ubuntu2
2026-06-10 03:31:48 status half-installed mount:arm64 2.41.3-3ubuntu2
2026-06-10 03:31:48 status unpacked mount:arm64 2.41.3-3ubuntu2
2026-06-10 03:31:48 install ncurses-base:all <none> 6.6+20251231-1
2026-06-10 03:31:48 status half-installed ncurses-base:all 6.6+20251231-1
2026-06-10 03:31:48 status unpacked ncurses-base:all 6.6+20251231-1
2026-06-10 03:31:48 install ncurses-bin:arm64 <none> 6.6+20251231-1
2026-06-10 03:31:48 status half-installed ncurses-bin:arm64 6.6+20251231-1
2026-06-10 03:31:48 status unpacked ncurses-bin:arm64 6.6+20251231-1
2026-06-10 03:31:48 install openssl-provider-legacy:arm64 <none> 3.5.5-1ubuntu3
2026-06-10 03:31:48 status half-installed openssl-provider-legacy:arm64 3.5.5-1ubuntu3
2026-06-10 03:31:48 status unpacked openssl-provider-legacy:arm64 3.5.5-1ubuntu3
2026-06-10 03:31:48 install passwd:arm64 <none> 1:4.17.4-2ubuntu3
2026-06-10 03:31:48 status half-installed passwd:arm64 1:4.17.4-2ubuntu3
2026-06-10 03:31:49 status unpacked passwd:arm64 1:4.17.4-2ubuntu3
2026-06-10 03:31:49 upgrade perl-base:arm64 5.40.1-7build1 5.40.1-7build1
2026-06-10 03:31:49 status half-configured perl-base:arm64 5.40.1-7build1
2026-06-10 03:31:49 status unpacked perl-base:arm64 5.40.1-7build1
2026-06-10 03:31:49 status half-installed perl-base:arm64 5.40.1-7build1
2026-06-10 03:31:49 status unpacked perl-base:arm64 5.40.1-7build1
2026-06-10 03:31:49 install procps:arm64 <none> 2:4.0.4-9ubuntu1
2026-06-10 03:31:49 status half-installed procps:arm64 2:4.0.4-9ubuntu1
2026-06-10 03:31:49 status unpacked procps:arm64 2:4.0.4-9ubuntu1
2026-06-10 03:31:49 install rust-coreutils:arm64 <none> 0.8.0-0ubuntu3
2026-06-10 03:31:49 status half-installed rust-coreutils:arm64 0.8.0-0ubuntu3
2026-06-10 03:31:49 status unpacked rust-coreutils:arm64 0.8.0-0ubuntu3
2026-06-10 03:31:50 install sed:arm64 <none> 4.9-2build3
2026-06-10 03:31:50 status half-installed sed:arm64 4.9-2build3
2026-06-10 03:31:50 status unpacked sed:arm64 4.9-2build3
2026-06-10 03:31:50 install sensible-utils:all <none> 0.0.26build1
2026-06-10 03:31:50 status half-installed sensible-utils:all 0.0.26build1
2026-06-10 03:31:50 status unpacked sensible-utils:all 0.0.26build1
2026-06-10 03:31:50 install sysvinit-utils:arm64 <none> 3.15-5ubuntu1
2026-06-10 03:31:50 status half-installed sysvinit-utils:arm64 3.15-5ubuntu1
2026-06-10 03:31:50 status unpacked sysvinit-utils:arm64 3.15-5ubuntu1
2026-06-10 03:31:50 install tar:arm64 <none> 1.35+dfsg-4
2026-06-10 03:31:50 status half-installed tar:arm64 1.35+dfsg-4
2026-06-10 03:31:50 status unpacked tar:arm64 1.35+dfsg-4
2026-06-10 03:31:50 install util-linux:arm64 <none> 2.41.3-3ubuntu2
2026-06-10 03:31:50 status half-installed util-linux:arm64 2.41.3-3ubuntu2
2026-06-10 03:31:50 status unpacked util-linux:arm64 2.41.3-3ubuntu2
2026-06-10 03:31:50 install zlib1g:arm64 <none> 1:1.3.dfsg+really1.3.1-1ubuntu3
2026-06-10 03:31:50 status half-installed zlib1g:arm64 1:1.3.dfsg+really1.3.1-1ubuntu3
2026-06-10 03:31:50 status unpacked zlib1g:arm64 1:1.3.dfsg+really1.3.1-1ubuntu3
2026-06-10 03:31:50 startup packages configure
2026-06-10 03:31:50 configure libc-gconv-modules-extra:arm64 2.43-2ubuntu2 <none>
2026-06-10 03:31:50 status unpacked libc-gconv-modules-extra:arm64 2.43-2ubuntu2
2026-06-10 03:31:50 status half-configured libc-gconv-modules-extra:arm64 2.43-2ubuntu2
2026-06-10 03:31:50 status installed libc-gconv-modules-extra:arm64 2.43-2ubuntu2
2026-06-10 03:31:50 configure login.defs:all 1:4.17.4-2ubuntu3 <none>
2026-06-10 03:31:50 status unpacked login.defs:all 1:4.17.4-2ubuntu3
2026-06-10 03:31:50 status half-configured login.defs:all 1:4.17.4-2ubuntu3
2026-06-10 03:31:50 status installed login.defs:all 1:4.17.4-2ubuntu3
2026-06-10 03:31:50 configure gcc-16-base:arm64 16-20260322-1ubuntu1 <none>
2026-06-10 03:31:50 status unpacked gcc-16-base:arm64 16-20260322-1ubuntu1
2026-06-10 03:31:50 status half-configured gcc-16-base:arm64 16-20260322-1ubuntu1
2026-06-10 03:31:50 status installed gcc-16-base:arm64 16-20260322-1ubuntu1
2026-06-10 03:31:50 configure libaudit-common:all 1:4.1.2-1build1 <none>
2026-06-10 03:31:50 status unpacked libaudit-common:all 1:4.1.2-1build1
2026-06-10 03:31:50 status half-configured libaudit-common:all 1:4.1.2-1build1
2026-06-10 03:31:50 status installed libaudit-common:all 1:4.1.2-1build1
2026-06-10 03:31:50 configure libsemanage-common:all 3.9-1build1 <none>
2026-06-10 03:31:50 status unpacked libsemanage-common:all 3.9-1build1
2026-06-10 03:31:50 status half-configured libsemanage-common:all 3.9-1build1
2026-06-10 03:31:50 status installed libsemanage-common:all 3.9-1build1
2026-06-10 03:31:50 configure debconf:all 1.5.92 <none>
2026-06-10 03:31:50 status unpacked debconf:all 1.5.92
2026-06-10 03:31:50 status half-configured debconf:all 1.5.92
2026-06-10 03:31:50 status installed debconf:all 1.5.92
2026-06-10 03:31:50 configure ncurses-base:all 6.6+20251231-1 <none>
2026-06-10 03:31:50 status unpacked ncurses-base:all 6.6+20251231-1
2026-06-10 03:31:50 status half-configured ncurses-base:all 6.6+20251231-1
2026-06-10 03:31:50 status installed ncurses-base:all 6.6+20251231-1
2026-06-10 03:31:50 configure init-system-helpers:all 1.69 <none>
2026-06-10 03:31:50 status unpacked init-system-helpers:all 1.69
2026-06-10 03:31:50 status half-configured init-system-helpers:all 1.69
2026-06-10 03:31:50 status installed init-system-helpers:all 1.69
2026-06-10 03:31:50 configure sensible-utils:all 0.0.26build1 <none>
2026-06-10 03:31:50 status unpacked sensible-utils:all 0.0.26build1
2026-06-10 03:31:50 status half-configured sensible-utils:all 0.0.26build1
2026-06-10 03:31:50 status installed sensible-utils:all 0.0.26build1
2026-06-10 03:31:50 configure libgcc-s1:arm64 16-20260322-1ubuntu1 <none>
2026-06-10 03:31:50 status unpacked libgcc-s1:arm64 16-20260322-1ubuntu1
2026-06-10 03:31:50 status half-configured libgcc-s1:arm64 16-20260322-1ubuntu1
2026-06-10 03:31:50 status installed libgcc-s1:arm64 16-20260322-1ubuntu1
2026-06-10 03:31:50 configure libc6:arm64 2.43-2ubuntu2 <none>
2026-06-10 03:31:50 status unpacked libc6:arm64 2.43-2ubuntu2
2026-06-10 03:31:50 status half-configured libc6:arm64 2.43-2ubuntu2
2026-06-10 03:31:50 status installed libc6:arm64 2.43-2ubuntu2
2026-06-10 03:31:50 configure libdb5.3t64:arm64 5.3.28+dfsg2-10ubuntu1 <none>
2026-06-10 03:31:50 status unpacked libdb5.3t64:arm64 5.3.28+dfsg2-10ubuntu1
2026-06-10 03:31:50 status half-configured libdb5.3t64:arm64 5.3.28+dfsg2-10ubuntu1
2026-06-10 03:31:50 status installed libdb5.3t64:arm64 5.3.28+dfsg2-10ubuntu1
2026-06-10 03:31:50 configure libudev1:arm64 259.5-0ubuntu3 <none>
2026-06-10 03:31:50 status unpacked libudev1:arm64 259.5-0ubuntu3
2026-06-10 03:31:50 status half-configured libudev1:arm64 259.5-0ubuntu3
2026-06-10 03:31:50 status installed libudev1:arm64 259.5-0ubuntu3
2026-06-10 03:31:50 configure libmd0:arm64 1.1.0-2build4 <none>
2026-06-10 03:31:50 status unpacked libmd0:arm64 1.1.0-2build4
2026-06-10 03:31:50 status half-configured libmd0:arm64 1.1.0-2build4
2026-06-10 03:31:50 status installed libmd0:arm64 1.1.0-2build4
2026-06-10 03:31:50 configure libattr1:arm64 1:2.5.2-4 <none>
2026-06-10 03:31:50 status unpacked libattr1:arm64 1:2.5.2-4
2026-06-10 03:31:50 status half-configured libattr1:arm64 1:2.5.2-4
2026-06-10 03:31:50 status installed libattr1:arm64 1:2.5.2-4
2026-06-10 03:31:50 configure sysvinit-utils:arm64 3.15-5ubuntu1 <none>
2026-06-10 03:31:50 status unpacked sysvinit-utils:arm64 3.15-5ubuntu1
2026-06-10 03:31:50 status half-configured sysvinit-utils:arm64 3.15-5ubuntu1
2026-06-10 03:31:50 status installed sysvinit-utils:arm64 3.15-5ubuntu1
2026-06-10 03:31:50 configure libext2fs2t64:arm64 1.47.2-3ubuntu4 <none>
2026-06-10 03:31:50 status unpacked libext2fs2t64:arm64 1.47.2-3ubuntu4
2026-06-10 03:31:50 status half-configured libext2fs2t64:arm64 1.47.2-3ubuntu4
